"Destination","Type","Latitude","Longitude","Website Link","Image Link","ProximalBusStops"
"Asian Civilisations Museum","Museum",1.28768669,103.8504028,"https://www.nhb.gov.sg/acm/","https://www.visitsingapore.com/see-do-singapore/history/history-museums/asian-civilizations-museum/_jcr_content/par-carousel/carousel_detailpage/carousel/item_2.thumbnail.carousel-img.740.416.jpg","03019,03011,04239,04222,05029,05319,02181,04251"
"ArtScience Museum","Museum",1.286468339,103.8593822,"https://www.marinabaysands.com/museum.html","https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/arts/art-science-musuem-carousel01-rect.jpeg","03509,03501,02051"
"Red Dot Design Museum","Museum",1.280324277,103.8564455,"https://museum.red-dot.sg/","https://museum.red-dot.sg/cdn/shop/files/RDDM_2018_02863-v3.jpg?v=1613581897&width=480","03519,03391,03539"
"Singapore Chinese Cultural Centre","Museum",1.276280076,103.8487246,"https://singaporeccc.org.sg/","https://static1.straitstimes.com.sg/s3fs-public/styles/large30x20/public/articles/2017/01/30/10_41355707_-_30_01_2017_-_rscentre31.jpg?VersionId=xlF7.2A.zuorv5_b12_PoflLSmRo5xFM","03217,03111,03239,03223,03129"
"Museum of Ice Cream","Museum",1.30284625,103.8103341,"https://www.museumoficecream.com/singapore/","https://www.visitsingapore.com/see-do-singapore/arts/performance-arts/museum-of-ice-cream-singapore/_jcr_content/par-carousel/carousel_detailpage/carousel/item0.thumbnail.carousel-img.740.416.jpg","11201"
"Lee Kong Chian Natural History Museum","Museum",1.303448093,103.7844941,"https://lkcnhm.nus.edu.sg/","https://iamarchitect.sg/wp-content/uploads/2017/11/9.jpg","19011,18141,18149,19089,19081"
"Singapore Discovery Centre","Museum",1.340003372,103.6928206,"https://www.defencecollectivesg.com/sdc/","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c8/76/1d/no-visit-to-singapore.jpg?w=1200&h=-1&s=1","27301,27309,22361,22369,27429,27421,27511,27519"
"Singapore Science Centre","Museum",1.333354349,103.7354034,"http://www.science.edu.sg/","https://www.science.edu.sg/images/default-source/navigation-bar-2023/dsc_4018_edited.jpg?sfvrsn=871b5b87_2","28441,28439,28431,28259,28251"
"Fort Canning Park","Nature",1.294450683,103.8458628,"https://beta.nparks.gov.sg/visit/parks/park-detail/fort-canning-park","https://trevallog.com/wp-content/uploads/2022/08/Fort-Canning-Park-Entrance-at-Opposite-Clarke-Quay-1.jpg","08031,04149,04142,08019,04311,04121,04339,04331"
"Gardens by the Bay","Nature",1.281665861,103.8637969,"https://www.gardensbythebay.com.sg/","https://grant-associates.uk.com/imager/projects/Gardens-by-the-Bay/18560/SNG233_N814-crop_b4d32de2edd68d7354c2bc997fd72d27.jpg","03509,03341"
"Singapore Botanic Gardens","Nature",1.314261758,103.8171475,"https://www.nparks.gov.sg/sbg","https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/singapore-botanic-gardens-carousel01-rect.jpg",""
"National Orchid Garden","Nature",1.312115328,103.8161276,"https://www.nparks.gov.sg/sbg/our-gardens/tyersall-entrance/national-orchid-garden","https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Entrance_National_Orchid_Garden_Singapore_Feb23_D72_25450.jpg/1200px-Entrance_National_Orchid_Garden_Singapore_Feb23_D72_25450.jpg",""
"Labrador Nature Reserve","Nature",1.267954015,103.8096275,"https://beta.nparks.gov.sg/visit/parks/park-detail/labrador-nature-reserve/","https://www.visitsingapore.com/see-do-singapore/nature-wildlife/reserves/labrador-nature-reserve/jcr:content/par/mobile_21_content_sl/21sliderpar/content_signpost_car/signpost/item_1.thumbnail.image.560.315.jpg","14161,14169,14159,14151"
"Singapore Zoo","Nature",1.405210053,103.7959395,"https://www.mandai.com/en/singapore-zoo.html","https://image.kkday.com/v2/image/get/w_960%2Cc_fit%2Cq_55%2Ct_webp/s1.kkday.com/product_100148/20221125061025_QhDJu/jpg",""
"Night Safari","Nature",1.403132571,103.7906235,"https://www.mandai.com/en/night-safari.html","https://www.visitsingapore.com/see-do-singapore/nature-wildlife/fun-with-animals/night-safari/jcr:content/par/mobile_21_content_sl/21sliderpar/content_signpost_car/signpost/item1.thumbnail.image.560.315.jpg","48131"
"East Coast Park","Nature",1.305861853,103.9251838,"https://beta.nparks.gov.sg/visit/parks/park-detail/east-coast-park/","https://www.visitsingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/east-coast-park-carousel01-square.jpg","93021,93029,93201,93199,93171"
"Sembawang Park","Nature",1.47796792,103.8341911,"https://beta.nparks.gov.sg/visit/parks/park-detail/sembawang-park","https://www.roots.gov.sg/-/media/Roots/Images/landmarks/Sembawang-Heritage-Trail/Sembawang-Park.ashx",""
