"Destination","Type","Latitude","Longitude","Website Link","Image Link","ProximalBusStops"
"8 degrees","Food",1.361355515,103.8841895,"https://8degrees.online/","https://burpple-1.imgix.net/foods/1695104644_review_image1976897_original.?w=400&h=400&fit=crop&q=80&auto=format","63031,63039"
"Singapore Fried Hokkien Mee","Food",1.32330154,103.8544951,"https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/singapore-fried-hokkien-mee","https://danielfooddiary.com/wp-content/uploads/2023/04/singaporehokkienmee1.JPG","50159,50991,52499,50211,50229,52451"
"Lau Wang Claypot Delights","Food",1.35472829,103.8725473,"https://lauwangclaypot.com/","https://lauwangclaypot.com/wp-content/uploads/2023/05/Our-Brand-Story-2-1024x722.png","66009,62141,63141,63149,66389,66051,66059,66379,63169,63161,66371"
"Mr and Mrs Mohgan's Super Crispy Roti Prata","Food",1.309909915,103.9028183,"https://sethlui.com/mr-and-mrs-mohgans-super-crispy-prata-singapore/","https://sethlui.com/wp-content/uploads/2021/03/Mr-and-Mrs-Moghan-Super-Crispy-Prata.jpg","92171,92179,82149,82141"
"The Sushi Bar","Food",1.302921521,103.8345036,"https://thesushibar.com.sg/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQk_ia6_rWfdlTvXCY-4QkRr-iKYea2g2_pohIwLVmVPg&s","09048,09022,09047,09011,09059,09212"
"Divine Vegetarian Family Restaurant","Food",1.372993389,103.89945,"https://divinefamily.zzv.sg/Category","https://s3-ap-southeast-1.amazonaws.com/getz-prod/e8306aa4-960b-4bc3-b5b4-040f52e1d5df/483665287_377231834placeholder2600x400.jpg","64059,64329,64051,64079,64069"
"Hong Wen Mutton Soup","Food",1.339457136,103.7762656,"https://www.facebook.com/hongwenmutton/","https://s3-ap-southeast-1.amazonaws.com/whyqsg/uploads/stalls/73951d831cd336b13baedb68e4da1a17.jpg","42149,42141,42071,42159,42079,42151,42089"
"Unagiya Ichinoji","Food",1.291481169,103.8420503,"https://unagiyaichinoji.oddle.me/","https://s3-ap-southeast-1.amazonaws.com/v3-live.image.oddle.me/product/NEWUnagiMeatPlatter6a6bd1.jpg","04329,04321,13109,13101,06189,06161,06169"
"Fu Ming Cooked Food","Food",1.287649917,103.8192393,"https://sethlui.com/fu-ming-cooked-food-carrot-cake-singapore/","https://i.ytimg.com/vi/Mc58GlBCpeI/mqdefault.jpg","10191,10261,10199,10269,10091,10099,10349,10351"
"Bread Street Kitchen","Food",1.282783148,103.8583228,"https://www.gordonramsayrestaurants.com/bread-street-kitchen-singapore/","https://www.marinabaysands.com/content/dam/marinabaysands/restaurants-listing/bread-street-kitchen/breadstreet-kitchen-porterhouse.jpg","03519,03511,03391"
"928 Yishun Laksa","Food",1.427579209,103.8381357,"https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8832286-Reviews-928_Yishun_Laksa-Singapore.html","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/98/2e/bb/man-fu-yuan-michelin.jpg?w=600&h=-1&s=1","59009,59079,59073,59709,59701,59669,59661,59069"
"Konjiki Hototogisu","Food",1.294907577,103.853305,"https://www.facebook.com/KonjikiHototogisuSGP/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8nujtsHLKVps9-Y2yXcrD-SVuj6uTSxWYv7TLHEbVew&s","02119,02111,01619,01611,02049,04111,01019,01012,04167,04143,04151,01029,04159,04168,01639,01631"
"Hakata Ikkousha Ramen","Food",1.296726957,103.8534269,"https://www.ikkousha.sg/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT93cl1GVO8aSpFLk0TJoljaUB5VT24IXjEFNN0I-H5BQ&s","80151,01619,01611,04179,04111,01019,01012,08069,04121,01013,04029,01029,04159,04019,01541,01639,01631"
"Soon Hiang Png","Food",1.334810663,103.722239,"https://scontent.cdninstagram.com/v/t51.2885-15/77046048_844602139295041_1563306681090446382_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=18de74&_nc_ohc=Jjp78V2BzlUAb4qZVJ4&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfAsXvn9GSFQjSlWd4Ebv25d18um8QTGLddM9aj3_K7B0Q&oe=66136110","https://scontent.cdninstagram.com/v/t51.2885-15/71940896_178746103259712_6389116796343759730_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=18de74&_nc_ohc=7aLoifBCvZgAX8pGHgo&_nc_ht=scontent.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AfBW8LO83SmPUqaGglooLHthhxmTKxNzqzQmzw8YlepQ7Q&oe=66134D5A","21639,21631,21191,21199,21591,21599,21601,21541"
"Symmetry","Food",1.304068472,103.8596838,"http://www.symmetry.com.sg/","https://images.squarespace-cdn.com/content/v1/568ce3d4b204d5a4f88a89c8/45607b93-f04e-4be9-be19-c95188712fc4/IMG_3868.jpg","01529,01521,01219,01231,01129,01121,01559,07419,01229,01109,07589,01239"
"Supply and Demand","Food",1.300614798,103.8397983,"https://www.supplyanddemand.com.sg/","https://scontent.cdninstagram.com/v/t51.2885-15/70599525_142068683721868_1828956093296152594_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_ohc=rmANPKqNHRsAb5fxrRe&_nc_ht=scontent.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AfCVxyU0tf8VIWuDeJKl-55_MTJqcv3S7CXBX-Dkayavog&oe=66134605","09038,08121,08137,08138"
