destination,type,latitude & longitude,permalink,timestamp,id
Angus House,Food,"1.3028907951872672, 103.83571688229134",https://www.instagram.com/p/CJQblRdnGIh/,2020-12-26T09:56:53+0000,1.79E+16
Ichikokudo Ramen ,Food,"1.2955654379071304, 103.85934391328576",https://www.instagram.com/p/CIViaTslUxy/,2020-12-03T13:01:22+0000,1.78E+16
D' Life,Food,"1.351763917010749, 103.72601141112771",https://www.instagram.com/p/CH9aVhGFH4l/,2020-11-24T04:09:02+0000,1.79E+16
Torasho Ramen & Charcoal Bar,Food,"1.2788224126753875, 103.8445905905219",https://www.instagram.com/p/CHZMto_l7dQ/,2020-11-10T02:37:20+0000,1.79E+16
Tom’s Palette,Food,"1.2974295391122064, 103.85620812411005",https://www.instagram.com/p/CHDUCGfF6mp/,2020-11-01T14:38:00+0000,1.79E+16
Lolla,Food,"1.2812037479428473, 103.84583803099454",https://www.instagram.com/p/CGtjhjMFofu/,2020-10-24T03:50:04+0000,1.79E+16
Lolla,Food,"1.2812037479428473, 103.84583803099454",https://www.instagram.com/p/CGtjW68FsVi/,2020-10-24T03:48:37+0000,1.79E+16
8 degrees ,Food,"1.361355514786394, 103.88418947281328",https://www.instagram.com/p/CF6VF0fFk0T/,2020-10-04T06:22:41+0000,1.79E+16
Singapore Fried Hokkien Mee ,Food,"1.32330154023704, 103.85449512964847",https://www.instagram.com/p/CFEu5Snl_0o/,2020-09-13T10:49:11+0000,1.79E+16
Lau Wang Claypot Delights,Food,"1.354728289543358, 103.87254728074035",https://www.instagram.com/p/CDrBeZ1liAV/,2020-08-09T14:39:53+0000,1.79E+16
Mr and Mrs Mohgan's Super Crispy Roti Prata,Food,"1.30990991519712, 103.90281828630411",https://www.instagram.com/p/CDIh7xClSzt/,2020-07-27T05:10:06+0000,1.81E+16
Che Kitchen by 车老板,Food,"1.3435217431445496, 103.84714228203607",https://www.instagram.com/p/CC07QP3FBjZ/,2020-07-19T14:26:32+0000,1.79E+16
Che Kitchen by 车老板,Food,"1.3435217431445496, 103.84714228203607",https://www.instagram.com/p/CC07DxlFFlt/,2020-07-19T14:24:50+0000,1.79E+16
The Sushi Bar,Food,"1.3029215212476017, 103.83450357672747",https://www.instagram.com/p/CCQra47FxAc/,2020-07-05T12:35:31+0000,1.80E+16
The Sushi Bar,Food,"1.3029215212476017, 103.83450357672747",https://www.instagram.com/p/CCQrPwdl2HD/,2020-07-05T12:34:00+0000,1.80E+16
Divine Vegetarian Family Restaurant,Food,"1.3729933893640958, 103.89944996694584",https://www.instagram.com/p/CBaXAJ9FXE8/,2020-06-14T10:18:07+0000,1.79E+16
Hong Wen Mutton Soup ,Food,"1.339457135658312, 103.77626558196894",https://www.instagram.com/p/B-1NM6DlP3w/,2020-04-11T06:57:47+0000,1.80E+16
Unagiya Ichinoji,Food,"1.2914811686913403, 103.84205028444936",https://www.instagram.com/p/B98Sog9l9GV/,2020-03-20T04:28:32+0000,1.78E+16
Fu Ming Cooked Food ,Food,"1.2876499167311233, 103.81923931699504",https://www.instagram.com/p/B9L6OeoFwHK/,2020-03-01T09:31:43+0000,1.81E+16
Bread Street Kitchen,Food,"1.2827831478023057, 103.85832277281331",https://www.instagram.com/p/B6X5FF-B4jJ/,2019-12-22T11:38:24+0000,1.78E+16
928 Yishun Laksa ,Food,"1.4275792086845203, 103.83813569608587",https://www.instagram.com/p/B6FxShYlKwx/,2019-12-15T10:44:00+0000,1.78E+16
Konjiki Hototogisu ,Food,"1.294907577202875, 103.85330500164956",https://www.instagram.com/p/B5z7NMQlldr/,2019-12-08T12:24:20+0000,1.79E+16
Hakata Ikkousha Ramen ,Food,"1.2967269571770552, 103.85342690787658",https://www.instagram.com/p/B5PNfVHl918/,2019-11-24T06:12:12+0000,1.81E+16
Soon Hiang Png ,Food,"1.3348106629473553, 103.72223904552794",https://www.instagram.com/p/B4ZzzyzAFkf/,2019-11-03T12:28:03+0000,1.78E+16
Symmetry,Food,"1.3040684719496973, 103.85968379423116",https://www.instagram.com/p/B4Jzw-gAwJS/,2019-10-28T07:19:49+0000,1.80E+16
Supply and Demand,Food,"1.3006147983492808, 103.83979825426705",https://www.instagram.com/p/B3iq-n8AKQ8/,2019-10-13T02:32:39+0000,1.80E+16
Symmetry,Food,"1.3040684719496973, 103.85968379423116",https://www.instagram.com/p/B2rdzMSAKor/,2019-09-21T15:59:16+0000,1.80E+16
