"destination","type","latitude & longitude","permalink","timestamp","id"
"Lau Wang Claypot Delights","food",NA,"https://www.instagram.com/p/CDrBeZ1liAV/","2020-08-09T14:39:53+0000","17893216933580511"
"Mr and Mrs Mohgan's Super Crispy Roti Prata","food",NA,"https://www.instagram.com/p/CDIh7xClSzt/","2020-07-27T05:10:06+0000","18064766356227137"
"Che Kitchen by 车老板","food",NA,"https://www.instagram.com/p/CC07QP3FBjZ/","2020-07-19T14:26:32+0000","17904481702491781"
"Che Kitchen by 车老板","food",NA,"https://www.instagram.com/p/CC07DxlFFlt/","2020-07-19T14:24:50+0000","17856389990101906"
"The Sushi Bar","food",NA,"https://www.instagram.com/p/CCQra47FxAc/","2020-07-05T12:35:31+0000","17958043168332083"
"The Sushi Bar","food",NA,"https://www.instagram.com/p/CCQrPwdl2HD/","2020-07-05T12:34:00+0000","17970020824309369"
"Divine Vegetarian Family Restaurant","food",NA,"https://www.instagram.com/p/CBaXAJ9FXE8/","2020-06-14T10:18:07+0000","17860317268955915"
"Hong Wen Mutton Soup ","food",NA,"https://www.instagram.com/p/B-1NM6DlP3w/","2020-04-11T06:57:47+0000","18045176767245647"
"Unagiya Ichinoji","food",NA,"https://www.instagram.com/p/B98Sog9l9GV/","2020-03-20T04:28:32+0000","17848095703968260"
"Fu Ming Cooked Food ","food",NA,"https://www.instagram.com/p/B9L6OeoFwHK/","2020-03-01T09:31:43+0000","18090627598176939"
"Bread Street Kitchen","food",NA,"https://www.instagram.com/p/B6X5FF-B4jJ/","2019-12-22T11:38:24+0000","17848751170813605"
"928 Yishun Laksa ","food",NA,"https://www.instagram.com/p/B6FxShYlKwx/","2019-12-15T10:44:00+0000","17848837093755747"
"Konjiki Hototogisu ","food",NA,"https://www.instagram.com/p/B5z7NMQlldr/","2019-12-08T12:24:20+0000","17868060289558763"
"Hakata Ikkousha Ramen ","food",NA,"https://www.instagram.com/p/B5PNfVHl918/","2019-11-24T06:12:12+0000","18120340771035822"
"Soon Hiang Png ","food",NA,"https://www.instagram.com/p/B4ZzzyzAFkf/","2019-11-03T12:28:03+0000","17843557756757407"
"Symmetry","food",NA,"https://www.instagram.com/p/B4Jzw-gAwJS/","2019-10-28T07:19:49+0000","18010194493253351"
"Supply and Demand","food",NA,"https://www.instagram.com/p/B3iq-n8AKQ8/","2019-10-13T02:32:39+0000","17966518561288167"
"Symmetry","food",NA,"https://www.instagram.com/p/B2rdzMSAKor/","2019-09-21T15:59:16+0000","18030929644208793"
