"BusStopCode","RoadName","Description","Latitude","Longitude"
"07517","Bencoolen St","IBIS S'PORE ON BENCOOLEN",1.30145216158073,103.852477819341
"07518","Bencoolen St","OPP NAFA CAMPUS 3",1.30095828368506,103.852111750348
"07529","Jln Besar","JLN BESAR STN EXIT A",1.30431906266143,103.85501564257
"07531","Rochor Canal Rd","Rochor Stn",1.30365644370093,103.852573232613
"07539","Sungei Rd","Bef Rochor Stn Exit B",1.30461300741211,103.852000972095
"07551","Rochor Rd","Fu Lu Shou Cplx",1.30171975809706,103.854613226702
"07561","Middle Rd","Bef Waterloo St",1.29945446471936,103.852679838573
"07569","Middle Rd","Aft Waterloo St",1.29949531348401,103.853013953762
"07571","Middle Rd","SUNSHINE PLAZA",1.30063444632288,103.851140093146
"07589","Ophir Rd","Ch of Our Lady of Lourdes",1.30320609782822,103.855499999834
"08011","Clemenceau Ave","Opp Haw Par Glass Twr",1.29706985017362,103.843610286725
"08019","Clemenceau Ave","Aft Haw Par Glass Twr",1.29624633745957,103.844070092284
"08031","Penang Rd","Dhoby Ghaut Stn Exit B",1.29831153783592,103.845256959553
"08041","Orchard Rd","YMCA",1.29811014243867,103.847806369095
"08057","Orchard Rd","Dhoby Ghaut Stn",1.29930997279734,103.845290214297
"08058","Orchard Rd","Aft Dhoby Ghaut Stn",1.2989583431631,103.846541152712
"08069","Bras Basah Rd","Bencoolen Stn Exit B",1.29821382250893,103.84936128376
"08079","Prinsep St","Sch of the Arts",1.29921444445586,103.84910329218
"08111","Penang Rd","Winsland Hse",1.29986928715834,103.840937460889
"08121","Somerset Rd","Somerset Stn",1.30027569326586,103.838776184597
"08137","Orchard Rd","Orchard Plaza",1.30073968408393,103.841005008168
"08138","Orchard Rd","Concorde Hotel S'pore",1.3004785730821,103.841847006076
"09011","Orchard Turn","Opp Ngee Ann City",1.30211335092372,103.834316723768
"09022","Orchard Blvd","ORCHARD STN EXIT 13",1.30252834773643,103.83239784276
"09023","Orchard Turn","Opp Orchard Stn/ION",1.30323727330942,103.832541800234
"09037","Orchard Rd","Bef Cairnhill Rd",1.3023400420296,103.837012533882
"09038","Orchard Rd","Opp Somerset Stn",1.30154262450563,103.838524818423
"09047","Orchard Rd","Orchard Stn/Tang Plaza",1.30446065207443,103.832944672086
"09048","Orchard Rd","Orchard Stn/Lucky Plaza",1.30386684425114,103.834130700514
"09059","Grange Rd","Somerset Youth Pk",1.30044251755834,103.83623804216
"09111","Orchard Blvd","Opp Four Seasons Hotel",1.30453752623147,103.82914529615
"09121","Orchard Blvd","Bef Tomlinson Rd",1.30397379238249,103.826996451245
"09131","Grange Rd","OPP ORCHARD BLVD STN",1.30391999998489,103.823338056031
"09139","Grange Rd","ORCHARD BLVD STN EXIT 1",1.303528,103.823585
"09141","Napier Rd","British Council",1.30543500002797,103.821776667023
"09149","Napier Rd","Opp British Council",1.30608981381948,103.821221502331
"09159","Tanglin Rd","Aft Tomlinson Rd",1.30602637557418,103.825680426206
"09169","Orchard Rd","Delfi Orchard",1.3070135326348,103.82835507326
"09179","Orchard Rd","Royal Thai Embassy",1.30587966240898,103.830490046186
"09191","Tomlinson Rd","Aft Cuscaden Rd",1.30488653118311,103.825497558345
"09212","Scotts Rd","Royal Plaza On Scotts",1.30702238421536,103.832655226626
"09213","Scotts Rd","Thong Teck Bldg",1.30783805600034,103.83305083303
"09219","Scotts Rd","Far East Plaza",1.30731999685228,103.833160882917
"10009","Bt Merah Ctrl","Bt Merah Int",1.28210155945393,103.817224802632
"10011","New Bridge Rd","BEF NEIL RD",1.2777380589964,103.837497091652
"10017","Eu Tong Sen St","Aft Hosp Dr",1.27832046633393,103.8376257476
"10018","Eu Tong Sen St","OUTRAM PK STN EXIT 6/SGH",1.27900819665099,103.83860360622
"10021","Neil Rd","Blk 3",1.27744837946643,103.838388945608
"10041","Kg Bahru Rd","BEF KAMPONG BAHRU TER",1.27605834770353,103.835190653057
"10049","Kg Bahru Rd","OPP KAMPONG BAHRU TER",1.27623302424393,103.834837867722
"10051","Jln Bt Merah","Blk 149",1.2774116353284,103.832144109148
"10059","Jln Bt Merah","Opp Blk 149",1.27739664167497,103.832751780779
"10061","Jln Bt Merah","Blk 140",1.27860472196885,103.829486388982
"10069","Jln Bt Merah","Opp Blk 140",1.27855472196877,103.830082500017
"10071","Jln Bt Merah","Blk 111",1.28045309423663,103.826389207548
"10079","Jln Bt Merah","Blk 201",1.2803950142786,103.827089068876
"10081","Jln Bt Merah","Opp Blk 120",1.2822783541702,103.822417443386
"10089","Jln Bt Merah","Blk 119",1.28292332245689,103.821656609059
"10091","Jln Bt Merah","Bt Merah Town Ctr",1.28394108576437,103.817839622511
"10099","Jln Bt Merah","Opp Bt Merah Town Ctr",1.28420923932422,103.817657232258
"10101","Jln Bt Merah","OPP BT MERAH SEC SCH",1.28506195168861,103.813783301144
"10109","Jln Bt Merah","BT MERAH SEC SCH",1.28535315729277,103.813705296743
"10111","Jln Bt Merah","Opp Blk 28",1.28592835098556,103.809354109584
"10119","Jln Bt Merah","Opp Pacific Tech Ctr",1.28598009010704,103.811225150878
"10121","Kim Tian Rd","Blk 126 CP",1.28259924598805,103.828905419839
"10129","Kim Tian Rd","Blk 121",1.28231999999009,103.82857194448
"10131","Jln Bt Merah","Opp Blk 2",1.28619141382394,103.806865490593
"10139","Jln Bt Merah","Blk 1",1.28635135443034,103.808100022344
"10141","Tiong Bahru Rd","Blk 18",1.28583847140468,103.832381798976
"10149","Tiong Bahru Rd","Blk 1",1.28606797463712,103.832833843111
"10151","Tiong Bahru Rd","Ctrl Green Condo",1.28572048365401,103.828529228709
"10161","Tiong Bahru Rd","Opp Tiong Bahru Stn",1.28593135445772,103.826689692315
"10169","Tiong Bahru Rd","Tiong Bahru Stn",1.28599961406266,103.82748123931
"10171","Tiong Bahru Rd","Opp Tiong Bahru Pk",1.28736808047078,103.823460048908
"10179","Tiong Bahru Rd","Tiong Bahru Pk",1.28722333302937,103.823958333014
"10181","Tiong Bahru Rd","BEF AR-RABITAH MQUE",1.28850399420484,103.821097417199
"10189","Tiong Bahru Rd","Blk 104A CP",1.28858805222806,103.821831928652
"10191","Tiong Bahru Rd","Blk 78",1.28860026020096,103.81903121724
"10199","Tiong Bahru Rd","Delta Swim Cplx",1.28875723330649,103.819366186622
"10201","Tiong Bahru Rd","Opp Redhill Stn",1.28928144532567,103.816628546912
"10209","Tiong Bahru Rd","Redhill Stn",1.28954631749853,103.816728854507
"10211","Leng Kee Rd","BMW Eurokars Auto",1.29075499997303,103.811441667008
"10219","Leng Kee Rd","Opp Motor Image",1.290835,103.81181
"10221","Ganges Ave","Ganges Ctr",1.29032906602668,103.831117934416
"10229","Ganges Ave","Opp Harvest Mansions",1.29052137840164,103.831781895296
"10231","Ganges Ave","Blk 51 CP",1.29041850946952,103.827881001495
"10239","Ganges Ave","Blk 79",1.29060688839488,103.828652974479
"10241","Alexandra Rd","Gan Eng Seng Sec Sch",1.2906166672167,103.823623268031
"10249","Alexandra Rd","Opp Gan Eng Seng Sec Sch",1.29088138899671,103.824077777978
"10261","Alexandra Rd","Delta Sports Hall",1.29090335842692,103.820472328842
"10269","Alexandra Rd","Opp Delta Sports Hall",1.29125331927458,103.820575832808
"10271","Alexandra Rd","Opp Tanglin View",1.29115999997607,103.817576667014
"10279","Alexandra Rd","Tanglin View",1.29151373164978,103.817576608877
"10281","Alexandra Rd","SIS Bldg",1.29153833298318,103.814451666978
"10289","Alexandra Rd","Opp SIS Bldg",1.2918699745378,103.814406394484
"10291","Alexandra Rd","Opp Dawson Pl",1.29215855273858,103.810658660681
"10299","Alexandra Rd","Aft Dawson Pl",1.29233498466278,103.811464867677
"10321","Tanglin Rd","Opp Grace Ably of God Ch",1.29428332949691,103.815878398828
"10329","Tanglin Rd","Crescent Girls' Sch",1.29364671283262,103.815974601075
"10331","Henderson Rd","Bef Bt Merah Ctrl",1.28136306628839,103.818344232286
"10339","Henderson Rd","Aft Bt Merah Ctrl",1.28115835063292,103.818572508449
"10341","Henderson Rd","Opp Blk 116",1.28484639603431,103.820593014679
